,model,library,MSE,MAE,MAPE
0,baseline,Keras,46363.15625,140.3988037109375,14.131410598754883
1,baseline,Sklearn,46363.15476190476,140.39880952380952,0.13083412121924728
2,DenseLinear,Keras,31923.162109375,119.8415756225586,12.934412956237793
3,DenseLinear,Sklearn,33046.72265625,119.84156799316406,0.1293441355228424
4,LSTMw1,Keras,59937.48828125,211.20999145507812,19.37953758239746
5,LSTMw1,Sklearn,61383.39453125,211.2100067138672,0.19379538297653198
6,LSTMw2,Keras,69178.8828125,203.16671752929688,19.017507553100586
7,LSTMw2,Sklearn,66794.484375,203.166748046875,0.19017507135868073
8,LSTMw3,Keras,76947.546875,223.3370819091797,19.90255355834961
9,LSTMw3,Sklearn,76080.8828125,223.33706665039062,0.19902552664279938
10,LSTMw7,Keras,66080.71875,208.396728515625,19.41845703125
11,LSTMw7,Sklearn,66251.71875,208.39675903320312,0.1941845715045929
12,LSTMw14,Keras,49483.88671875,172.97874450683594,17.283344268798828
13,LSTMw14,Sklearn,51558.265625,172.97874450683594,0.1728334277868271
14,LSTMw28,Keras,39210.1171875,142.78451538085938,14.882014274597168
15,LSTMw28,Sklearn,39233.80078125,142.78453063964844,0.14882014691829681
