TARGET,ALPHA,L1L2,R2,MAE,MSE,MAPE
flights_total,0.1,0.1,0.88,67.0,11111.0,0.04
flights_cancel,0.1,0.1,0.81,34.0,4568.0,5523666412026558.0
flights_delay,0.1,0.1,0.35,91.0,23298.0,0.37
flights_ontime,0.1,0.1,0.66,124.0,34539.0,0.13
flights_arr_ontime,0.1,0.1,0.67,62.0,8697.0,0.13
flights_arr_delay,0.1,0.1,0.31,47.0,6145.0,0.39
flights_arr_cancel,0.1,0.9,0.82,16.0,1067.0,4137098643426366.5
flights_dep_ontime,0.1,0.1,0.64,64.0,8995.0,0.14
flights_dep_delay,0.1,0.1,0.39,48.0,5905.0,0.4
flights_dep_cancel,0.1,0.4574594296327522,0.79,19.0,1304.0,8592318421649933.0
flights_cancel_pct,0.1,0.16485365691378742,0.81,2.0,19.0,331047516571671.2
flights_delay_pct,0.08786267357290589,0.9,0.25,5.0,80.0,0.29
flights_ontime_pct,0.1,0.9,0.58,6.0,101.0,0.11
flights_arr_delay_pct,0.1,0.7205354374919513,0.23,5.0,85.0,0.33
flights_arr_ontime_pct,0.1,0.9,0.54,6.0,107.0,0.11
flights_arr_cancel_pct,0.017503472768769703,0.9,0.77,2.0,22.0,412553361104262.0
flights_dep_delay_pct,0.1,0.9,0.28,5.0,81.0,0.31
flights_dep_ontime_pct,0.1,0.9,0.6,6.0,100.0,0.12
flights_dep_cancel_pct,0.1,0.39560087081869144,0.79,2.0,21.0,1049545311866109.9
